날짜,강수량(mm)
2018-09-01,
2018-09-02,
2018-09-03,34.5
2018-09-04,
2018-09-05,
2018-09-06,1
2018-09-07,0.5
2018-09-08,
2018-09-09,
2018-09-10,
2018-09-11,
2018-09-12,
2018-09-13,
2018-09-14,0.5
2018-09-15,0.2
2018-09-16,2
2018-09-17,0.1
2018-09-18,
2018-09-19,0.2
2018-09-20,5
2018-09-21,18
2018-09-22,6.5
2018-09-23,0
2018-09-24,
2018-09-25,
2018-09-26,
2018-09-27,
2018-09-28,
2018-09-29,
2018-09-30,
2018-10-01,0
2018-10-02,
2018-10-03,
2018-10-04,
2018-10-05,36.5
2018-10-06,55.5
2018-10-07,
2018-10-08,
2018-10-09,0
2018-10-10,7
2018-10-11,
2018-10-12,
2018-10-13,
2018-10-14,
2018-10-15,
2018-10-16,
2018-10-17,
2018-10-18,
2018-10-19,
2018-10-20,
2018-10-21,
2018-10-22,
2018-10-23,5
2018-10-24,
2018-10-25,
2018-10-26,11
2018-10-27,
2018-10-28,5.5
2018-10-29,0
2018-10-30,0
2018-10-31,0
2019-05-01,
2019-05-02,
2019-05-03,
2019-05-04,
2019-05-05,
2019-05-06,0
2019-05-07,
2019-05-08,
2019-05-09,
2019-05-10,
2019-05-11,
2019-05-12,
2019-05-13,0
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-18,0
2019-05-19,22
2019-05-20,8.7
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-25,
2019-05-26,
2019-05-27,7.1
2019-05-28,
2019-05-29,
2019-05-30,0
2019-05-31,
2019-06-01,
2019-06-02,
2019-06-03,
2019-06-04,
2019-06-05,
2019-06-06,7.5
2019-06-07,35.3
2019-06-08,
2019-06-09,2.5
2019-06-10,9.5
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-15,2.1
2019-06-16,
2019-06-17,0
2019-06-18,13.8
2019-06-19,0.2
2019-06-20,
2019-06-21,0.2
2019-06-22,
2019-06-23,
2019-06-24,
2019-06-25,
2019-06-26,0
2019-06-27,1.4
2019-06-28,0
2019-06-29,1.5
2019-06-30,0
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-04,
2019-07-05,0
2019-07-06,
2019-07-07,
2019-07-08,
2019-07-09,
2019-07-10,8.5
2019-07-11,2.9
