ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2015-04-29,0,26877,14444,0,0,0,12433,0,4460,3813,134,26,118,369,0,3218,3218,0,0,0,0,896,6612,6186,593,199,411,119
2015-04-30,14207,10196,21374,171,114,2504,240,1869,1512,2934,119,17,220,91,1025,2215,3033,103,5,96,3,3110,2145,4149,640,35,202,229
2015-05-01,21840,8174,24332,397,104,4693,488,3373,2568,5213,321,47,322,38,2299,2196,4237,154,20,54,30,5473,2547,6320,926,129,273,372
2015-05-02,25332,10515,32315,455,159,2614,304,4503,3263,6825,440,111,353,37,5374,1612,6700,183,29,69,5,8760,3505,9584,1594,187,295,605
2015-05-03,17344,6860,18264,268,134,3964,1574,2895,1750,3436,334,141,712,22,3901,956,4653,126,41,23,14,6484,2873,7197,1134,161,222,643
2015-05-04,20150,8549,19044,486,443,8107,619,2591,1915,4007,173,142,139,45,3917,1152,4936,80,27,9,17,4962,4488,8384,694,164,95,113
2015-05-05,11147,19559,27755,196,138,2513,104,3171,4881,7260,258,103,395,36,4960,4361,9124,122,31,42,2,7172,13229,18438,1176,262,216,309
2015-05-06,10240,8107,11074,185,115,6677,296,1431,1203,2159,211,31,201,32,3135,1579,4584,73,16,38,3,2674,3436,5008,513,97,206,286
2015-05-07,10037,7838,14207,35,5,3582,46,1411,1269,2231,119,38,240,52,3138,2012,3998,123,12,18,999,2644,5954,7739,599,125,76,59
2015-05-08,10917,7940,11137,267,114,6880,459,1530,2189,3222,188,43,259,7,3141,2283,5277,76,9,55,7,2720,5316,7065,537,40,181,213
